player_id,name,current_value,current_date,peak_value,peak_date,days_since_update,is_stale,total_goals,total_assists,total_minutes,total_appearances,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90,date_of_birth,position,sub_position,foot,height_in_cm,country_of_citizenship,age,log_value,age_squared,recent_goals_per_90,recent_assists_per_90,recent_minutes,league_tier,league_tier_missing,predicted_log_value,residual
562049,Edoardo Bove,5000000,2025-06-17,18000000,2024-06-05,255,False,5,5,4851,102,11,0,0.0927643784786641,0.0927643784786641,2002-05-16,Midfield,Central Midfield,right,181.0,Italy,23.08829568788501,15.424948670398354,533.0693977712097,0.10514018691588785,0.31542056074766356,856.0,1.0,0,14.97876045511172,0.4461882152866341
1031047,George Robesten,100000,2025-06-17,100000,2025-06-17,255,False,0,0,452,13,0,0,0.0,0.0,2005-11-11,Attack,Left Winger,unknown,180.0,England,19.59753593429158,11.51293546492023,384.0634146958498,0.0,0.0,384.0,1.0,0,13.73530364117177,-2.222368176251541
692209,Joan González,800000,2025-06-17,6000000,2023-03-21,255,False,2,4,3632,66,15,0,0.0495594713656387,0.0991189427312775,2002-02-01,Midfield,Central Midfield,right,190.0,Spain,23.37303216974675,13.592368256649284,546.2986328080165,0.0,0.0,0.0,1.0,1,13.589046625680941,0.0033216309683421485
82048,Nicola Sansone,400000,2025-06-17,16000000,2017-01-24,255,False,61,51,19907,361,56,1,0.2757823881046868,0.2305721605465414,1991-09-10,Attack,Left Winger,right,174.0,Italy,33.76865160848734,12.899222326086994,1140.3218314553944,0.0,0.0,61.0,1.0,0,13.082033583029613,-0.18281125694261924
91854,Barry Douglas,50000,2025-06-17,3500000,2018-09-24,255,False,1,8,4899,61,11,0,0.0183710961420698,0.1469687691365584,1989-09-04,Defender,Left-Back,left,176.0,Scotland,35.78370978781656,10.819798284210286,1280.4738861786789,0.0,0.0,1144.0,1.0,0,12.227131561817243,-1.4073332776069574
39728,Mats Hummels,2000000,2025-06-17,60000000,2018-04-04,255,False,32,27,39827,493,71,4,0.0723127526552338,0.0610138850528535,1988-12-16,Defender,Centre-Back,right,191.0,Germany,36.50102669404517,14.508658238524095,1332.3249497193983,0.06656804733727811,0.0,1352.0,1.0,0,13.310459675605173,1.1981985629189218
40633,Milan Badelj,800000,2025-06-17,15000000,2018-06-07,255,False,15,29,29759,390,87,0,0.0453644275681306,0.0877045599650526,1989-02-25,Midfield,Defensive Midfield,right,186.0,Croatia,36.3066392881588,13.592368256649284,1318.172056400476,0.05528255528255528,0.05528255528255528,1628.0,1.0,0,12.590507419884798,1.001860836764486
55769,Danilo D'Ambrosio,700000,2025-06-17,13000000,2017-12-29,255,False,26,26,26202,374,69,2,0.089306159835127,0.089306159835127,1988-09-09,Defender,Centre-Back,right,180.0,Italy,36.76933607118412,13.45883704259595,1351.9840751156817,0.0,0.07240547063555913,1243.0,1.0,0,11.880868275038594,1.5779687675573566
265990,Michee Efete,150000,2025-06-17,225000,2023-06-23,255,False,1,1,1817,30,5,0,0.0495321959273527,0.0495321959273527,1997-03-11,Defender,Right-Back,right,180.0,DR Congo,28.268309377138944,11.918397239722838,799.0973150416415,0.1111111111111111,0.0,810.0,1.0,0,13.229255200781754,-1.3108579610589164
330472,Alessio Iovine,400000,2025-06-17,400000,2024-10-18,255,False,0,0,472,11,4,0,0.0,0.0,1991-02-01,Midfield,Right Midfield,right,174.0,Italy,34.37371663244353,12.899222326086994,1181.5523951275252,0.0,0.0,472.0,1.0,0,12.369957262565714,0.5292650635212794
307823,Will Nightingale,100000,2025-06-17,100000,2023-04-06,255,False,0,0,1717,21,6,0,0.0,0.0,1995-08-02,Defender,Centre-Back,right,185.0,England,29.87542778918549,11.51293546492023,892.5411855868366,0.0,0.0,270.0,1.0,0,12.813205941412823,-1.300270476492594
319160,Jakub Jankto,800000,2025-06-17,15000000,2017-12-29,255,False,21,23,12403,201,31,0,0.1523824881077158,0.1668951060227364,1996-01-19,Midfield,Left Midfield,left,184.0,Czech Republic,29.409993155373037,13.592368256649284,864.9476973990888,0.0,0.0,0.0,1.0,1,13.519541484699346,0.07282677194993781
458353,Visar Bekaj,450000,2025-06-18,450000,2025-03-20,254,False,0,0,1661,19,3,0,0.0,0.0,1997-05-24,Goalkeeper,Goalkeeper,right,191.0,Kosovo,28.0684462696783,13.017005083966255,787.8376759938177,0.0,0.0,1350.0,1.0,0,13.416220267951356,-0.3992151839851008
196524,Sinan Gümüş,50000,2025-06-18,3500000,2016-07-15,254,False,27,10,5252,139,23,0,0.4626808834729626,0.1713632901751713,1994-01-15,Attack,Right Winger,left,179.0,Türkiye,31.42231348391513,10.819798284210286,987.3617846814345,0.0,0.0,13.0,1.0,0,12.842381299708952,-2.0225830154986664
134277,Julian Jeanvier,400000,2025-06-18,2500000,2018-05-16,254,False,2,1,5205,75,13,0,0.0345821325648415,0.0172910662824207,1992-03-31,Defender,Centre-Back,right,183.0,Guinea,33.215605749486656,12.899222326086994,1103.276465305331,0.0,0.0,942.0,1.0,0,12.317580879277035,0.5816414468099591
